DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT34,2016,63,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT34,2017,63,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT34,2018,63,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT34,2019,63,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT34,2020,63,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE10,2000,11,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE10,2001,11,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE10,2002,11,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE10,2003,11,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE10,2006,11,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE10,2007,11,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE10,2008,11,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE10,2009,11,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE10,2010,11,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE10,2011,11,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE10,2012,11,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE10,2013,11,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE10,2014,11,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE10,2015,11,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE10,2016,11,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE10,2017,11,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE10,2018,11,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE10,2019,11,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE10,2020,11,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE21,2000,219,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE21,2001,219,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE21,2006,220,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE21,2007,220,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE21,2008,220,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE21,2009,220,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE21,2010,220,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE21,2011,220,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE21,2012,220,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE21,2013,220,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE21,2014,220,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE21,2015,220,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE21,2016,220,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE21,2017,220,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE21,2018,220,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE21,2019,220,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE21,2020,220,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE22,2000,106,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE22,2001,106,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE22,2006,106,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE22,2007,106,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE22,2008,106,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE22,2009,106,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE22,2010,106,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE22,2011,106,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE22,2012,106,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE22,2013,106,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE22,2014,106,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE22,2015,106,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE22,2016,106,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE22,2017,106,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE22,2018,106,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE22,2019,106,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE22,2020,106,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE23,2000,162,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE23,2001,162,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE23,2006,196,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE23,2007,196,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,BE23,2008,196,
