DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT33,2010,81.9,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT33,2011,82.3,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT33,2012,82.2,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT33,2013,82.4,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT33,2014,82.8,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT33,2015,82.4,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT33,2016,82.8,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT33,2017,83.2,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT33,2018,83.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT33,2019,83.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT33,2020,82.4,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT34,2000,79.8,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT34,2001,79.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT34,2002,80.1,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT34,2003,79.6,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT34,2004,80.2,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT34,2005,80.8,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT34,2006,80.8,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT34,2007,81.2,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT34,2008,81.6,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT34,2009,81.7,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT34,2010,82.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT34,2011,82.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT34,2012,82.2,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT34,2013,82.3,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT34,2014,83.1,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT34,2015,82.4,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT34,2016,82.7,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT34,2017,82.4,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT34,2018,82.9,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT34,2019,83.3,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,AT34,2020,82.5,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,BE10,2000,78.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,BE10,2001,78.1,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,BE10,2002,78.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,BE10,2003,78.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,BE10,2004,78.8,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,BE10,2005,79.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,BE10,2006,79.2,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,BE10,2007,80.0,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,BE10,2008,79.6,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,BE10,2009,79.9,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,BE10,2010,80.2,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,BE10,2011,80.8,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,BE10,2012,80.1,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,BE10,2013,80.6,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,BE10,2014,81.1,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,BE10,2015,80.9,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,BE10,2016,81.3,
ESTAT:DEMO_R_MLIFEXP(1.0),22/07/22 23:00:00,A,YR,T,Y_LT1,BE10,2017,81.2,
